section,index,name,chart_id,t,x,y,z,vx,vy,vz,ax,ay,az,yaw,local_u,local_v,plane_error,boundary_margin,chart_contains,contains
crossing,1,G2,1,2.155154,4.477397,-0.592034,1.991492,,,,,,,,0.555731,-0.036840,0.000000000,0.166351548,True,True
crossing,2,G4,2,3.844040,7.531189,0.963517,1.838973,,,,,,,,-0.504203,-0.050256,0.000000000,0.184622081,True,True
crossing,3,G6,1,6.417835,11.785144,-1.269236,2.331830,,,,,,,,0.704595,0.096883,0.000000000,0.117904825,True,True
crossing,4,G3,12,9.417364,6.418086,-0.918587,2.063964,,,,,,,,-0.252889,-0.112298,0.000000000,0.368301128,True,True
crossing,5,G5,9,11.833297,9.891745,1.258452,1.643282,,,,,,,,-0.296057,0.367470,0.000000000,0.387450279,True,True
crossing,6,G1,7,16.446089,1.882384,2.691755,1.675286,,,,,,,,-0.116742,0.617134,0.000000000,0.455479109,True,True
sample,0,drone,,0.000000,0.000000,-1.000000,1.200000,1.175659,0.105028,0.208963,1.300346,0.036635,0.274234,0.089099,,,,,,
sample,1,drone,,0.024991,0.029381,-0.997375,1.205222,1.208156,0.105943,0.215816,1.934903,0.055004,0.407791,0.087466,,,,,,
sample,2,drone,,0.049982,0.060386,-0.994705,1.210787,1.272369,0.107777,0.229345,2.538228,0.073477,0.534228,0.084504,,,,,,
sample,3,drone,,0.074973,0.092977,-0.991988,1.216685,1.335022,0.109616,0.242518,2.475764,0.073686,0.519988,0.081924,,,,,,
sample,4,drone,,0.099964,0.127113,-0.989226,1.222908,1.396113,0.111460,0.255335,2.413300,0.073894,0.505748,0.079667,,,,,,
sample,5,drone,,0.124955,0.162757,-0.986417,1.229447,1.455643,0.113309,0.267796,2.350836,0.074103,0.491508,0.077685,,,,,,
sample,6,drone,,0.149946,0.199869,-0.983563,1.236293,1.513613,0.115164,0.279901,2.288372,0.074311,0.477268,0.075939,,,,,,
sample,7,drone,,0.174937,0.238411,-0.980661,1.243438,1.570021,0.117023,0.291651,2.225908,0.074519,0.463028,0.074399,,,,,,
sample,8,drone,,0.199928,0.278342,-0.977713,1.250871,1.624868,0.118888,0.303045,2.163444,0.074728,0.448788,0.073038,,,,,,
sample,9,drone,,0.224919,0.319625,-0.974719,1.258584,1.678154,0.120758,0.314082,2.100980,0.074936,0.434548,0.071835,,,,,,
sample,10,drone,,0.249910,0.362220,-0.971678,1.266569,1.729880,0.122634,0.324764,2.038515,0.075145,0.420308,0.070773,,,,,,
sample,11,drone,,0.274901,0.406088,-0.968589,1.274817,1.780044,0.124514,0.335090,1.976051,0.075353,0.406068,0.069836,,,,,,
sample,12,drone,,0.299892,0.451190,-0.965454,1.283318,1.828647,0.126400,0.345060,1.913587,0.075561,0.391828,0.069012,,,,,,
sample,13,drone,,0.324883,0.497487,-0.962272,1.292064,1.875689,0.128291,0.354674,1.851123,0.075770,0.377587,0.068290,,,,,,
sample,14,drone,,0.349874,0.544941,-0.959042,1.301045,1.921170,0.130187,0.363933,1.788659,0.075978,0.363347,0.067661,,,,,,
sample,15,drone,,0.374865,0.593511,-0.955765,1.310254,1.965090,0.132088,0.372835,1.726195,0.076187,0.349107,0.067117,,,,,,
sample,16,drone,,0.399857,0.643160,-0.952440,1.319680,2.007448,0.133995,0.381382,1.663731,0.076395,0.334867,0.066650,,,,,,
sample,17,drone,,0.424848,0.693848,-0.949067,1.329316,2.048246,0.135907,0.389573,1.601267,0.076604,0.320627,0.066256,,,,,,
sample,18,drone,,0.449839,0.745536,-0.945647,1.339152,2.087483,0.137824,0.397408,1.538803,0.076812,0.306387,0.065928,,,,,,
sample,19,drone,,0.474830,0.798185,-0.942179,1.349179,2.125159,0.139746,0.404887,1.476339,0.077020,0.292147,0.065663,,,,,,
sample,20,drone,,0.499821,0.851756,-0.938662,1.359389,2.161274,0.141674,0.412010,1.413875,0.077229,0.277907,0.065457,,,,,,
sample,21,drone,,0.524812,0.906210,-0.935098,1.369772,2.195827,0.143606,0.418777,1.351411,0.077437,0.263667,0.065307,,,,,,
sample,22,drone,,0.549803,0.961508,-0.931484,1.380320,2.228820,0.145544,0.425188,1.288947,0.077646,0.249427,0.065208,,,,,,
sample,23,drone,,0.574794,1.017611,-0.927823,1.391024,2.260252,0.147487,0.431244,1.226483,0.077854,0.235186,0.065160,,,,,,
sample,24,drone,,0.599785,1.074480,-0.924113,1.401875,2.290122,0.149435,0.436943,1.164019,0.078062,0.220946,0.065160,,,,,,
sample,25,drone,,0.624776,1.132076,-0.920354,1.412863,2.318432,0.151389,0.442287,1.101555,0.078271,0.206706,0.065205,,,,,,
sample,26,drone,,0.649767,1.190360,-0.916546,1.423981,2.345180,0.153347,0.447275,1.039091,0.078479,0.192466,0.065295,,,,,,
sample,27,drone,,0.674758,1.249293,-0.912689,1.435219,2.370368,0.155311,0.451907,0.976627,0.078688,0.178226,0.065429,,,,,,
sample,28,drone,,0.699749,1.308835,-0.908783,1.446568,2.393994,0.157280,0.456183,0.914163,0.078896,0.163986,0.065604,,,,,,
sample,29,drone,,0.724740,1.368949,-0.904828,1.458020,2.416059,0.159255,0.460103,0.851699,0.079104,0.149746,0.065820,,,,,,
sample,30,drone,,0.749731,1.429595,-0.900823,1.469565,2.436564,0.161234,0.463668,0.789235,0.079313,0.135506,0.066076,,,,,,
sample,31,drone,,0.774722,1.490734,-0.896769,1.481195,2.455507,0.163219,0.466876,0.726771,0.079521,0.121266,0.066373,,,,,,
sample,32,drone,,0.799713,1.552326,-0.892665,1.492901,2.472889,0.165209,0.469729,0.664307,0.079730,0.107026,0.066709,,,,,,
sample,33,drone,,0.824704,1.614334,-0.888512,1.504673,2.488710,0.167204,0.472226,0.601843,0.079938,0.092785,0.067084,,,,,,
sample,34,drone,,0.849695,1.676717,-0.884308,1.516504,2.502971,0.169204,0.474366,0.539379,0.080146,0.078545,0.067499,,,,,,
sample,35,drone,,0.874686,1.739438,-0.880055,1.528383,2.515670,0.171210,0.476151,0.476915,0.080355,0.064305,0.067953,,,,,,
sample,36,drone,,0.899677,1.802456,-0.875751,1.540303,2.526808,0.173221,0.477581,0.414451,0.080563,0.050065,0.068446,,,,,,
sample,37,drone,,0.924668,1.865733,-0.871397,1.552253,2.536385,0.175237,0.478654,0.351987,0.080772,0.035825,0.068979,,,,,,
sample,38,drone,,0.949659,1.929229,-0.866992,1.564227,2.544401,0.177258,0.479371,0.289523,0.080980,0.021585,0.069553,,,,,,
sample,39,drone,,0.974650,1.992907,-0.862537,1.576213,2.550856,0.179284,0.479733,0.227059,0.081189,0.007345,0.070169,,,,,,
sample,40,drone,,0.999641,2.056726,-0.858031,1.588205,2.555750,0.181316,0.479738,0.164595,0.081397,-0.006895,0.070826,,,,,,
sample,41,drone,,1.024632,2.120649,-0.853474,1.600192,2.559083,0.183352,0.479388,0.102131,0.081605,-0.021135,0.071526,,,,,,
sample,42,drone,,1.049623,2.184635,-0.848867,1.612165,2.560854,0.185394,0.478682,0.039667,0.081814,-0.035375,0.072269,,,,,,
sample,43,drone,,1.074614,2.248645,-0.844208,1.624117,2.561065,0.187442,0.477620,-0.022797,0.082022,-0.049615,0.073059,,,,,,
sample,44,drone,,1.099605,2.312642,-0.839498,1.636038,2.559715,0.189494,0.476202,-0.085261,0.082231,-0.063856,0.073895,,,,,,
sample,45,drone,,1.124596,2.376585,-0.834737,1.647919,2.556804,0.191552,0.474428,-0.147725,0.082439,-0.078096,0.074779,,,,,,
sample,46,drone,,1.149588,2.440436,-0.829924,1.659751,2.552331,0.193615,0.472299,-0.210189,0.082647,-0.092336,0.075713,,,,,,
sample,47,drone,,1.174579,2.504156,-0.825059,1.671525,2.546298,0.195683,0.469813,-0.272653,0.082856,-0.106576,0.076699,,,,,,
sample,48,drone,,1.199570,2.567706,-0.820143,1.683233,2.538704,0.197756,0.466972,-0.335117,0.083064,-0.120816,0.077739,,,,,,
sample,49,drone,,1.224561,2.631046,-0.815175,1.694865,2.529548,0.199834,0.463774,-0.397581,0.083273,-0.135056,0.078836,,,,,,
sample,50,drone,,1.249552,2.694138,-0.810155,1.706413,2.518832,0.201918,0.460221,-0.460045,0.083481,-0.149296,0.079992,,,,,,
sample,51,drone,,1.274543,2.756942,-0.805083,1.717868,2.506554,0.204007,0.456312,-0.522509,0.083689,-0.163536,0.081210,,,,,,
sample,52,drone,,1.299534,2.819420,-0.799958,1.729221,2.492716,0.206101,0.452047,-0.584973,0.083898,-0.177776,0.082494,,,,,,
sample,53,drone,,1.324525,2.881533,-0.794782,1.740463,2.477316,0.208200,0.447427,-0.647437,0.084106,-0.192016,0.083846,,,,,,
sample,54,drone,,1.349516,2.943242,-0.789552,1.751584,2.460355,0.210305,0.442450,-0.709901,0.084315,-0.206257,0.085270,,,,,,
sample,55,drone,,1.374507,3.004507,-0.784270,1.762577,2.441834,0.212415,0.437118,-0.772365,0.084523,-0.220497,0.086771,,,,,,
sample,56,drone,,1.399498,3.065290,-0.778935,1.773432,2.421751,0.214529,0.431429,-0.834829,0.084731,-0.234737,0.088354,,,,,,
sample,57,drone,,1.424489,3.125551,-0.773547,1.784141,2.400107,0.216650,0.425385,-0.897293,0.084940,-0.248977,0.090023,,,,,,
sample,58,drone,,1.449480,3.185252,-0.768107,1.794694,2.376902,0.218775,0.418985,-0.959757,0.085148,-0.263217,0.091783,,,,,,
sample,59,drone,,1.474471,3.244353,-0.762613,1.805083,2.352137,0.220905,0.412229,-1.022221,0.085357,-0.277457,0.093642,,,,,,
sample,60,drone,,1.499462,3.302817,-0.757065,1.815298,2.325810,0.223041,0.405117,-1.084685,0.085565,-0.291697,0.095606,,,,,,
sample,61,drone,,1.524453,3.360602,-0.751465,1.825331,2.297922,0.225182,0.397649,-1.147149,0.085773,-0.305937,0.097682,,,,,,
sample,62,drone,,1.549444,3.417671,-0.745810,1.835173,2.268473,0.227328,0.389826,-1.209613,0.085982,-0.320177,0.099879,,,,,,
sample,63,drone,,1.574435,3.473985,-0.740102,1.844815,2.237463,0.229480,0.381646,-1.272077,0.086190,-0.334417,0.102205,,,,,,
sample,64,drone,,1.599426,3.529504,-0.734340,1.854249,2.204892,0.231636,0.373111,-1.334541,0.086399,-0.348658,0.104672,,,,,,
sample,65,drone,,1.624417,3.584190,-0.728525,1.863464,2.170760,0.233798,0.364219,-1.397005,0.086607,-0.362898,0.107290,,,,,,
sample,66,drone,,1.649408,3.638004,-0.722655,1.872453,2.135067,0.235965,0.354972,-1.459469,0.086816,-0.377138,0.110072,,,,,,
sample,67,drone,,1.674399,3.690905,-0.716731,1.881206,2.097812,0.238137,0.345369,-1.521933,0.087024,-0.391378,0.113033,,,,,,
sample,68,drone,,1.699390,3.742857,-0.710752,1.889715,2.058997,0.240315,0.335410,-1.584397,0.087232,-0.405618,0.116189,,,,,,
sample,69,drone,,1.724381,3.793818,-0.704719,1.897971,2.018621,0.242497,0.325096,-1.646861,0.087441,-0.419858,0.119557,,,,,,
sample,70,drone,,1.749372,3.843751,-0.698632,1.905964,1.976684,0.244685,0.314425,-1.709325,0.087649,-0.434098,0.123159,,,,,,
sample,71,drone,,1.774363,3.892617,-0.692489,1.913687,1.933185,0.246878,0.303399,-1.771789,0.087858,-0.448338,0.127018,,,,,,
sample,72,drone,,1.799354,3.940376,-0.686292,1.921129,1.888126,0.249077,0.292016,-1.834253,0.088066,-0.462578,0.131160,,,,,,
sample,73,drone,,1.824345,3.986989,-0.680040,1.928282,1.841506,0.251280,0.280278,-1.896717,0.088274,-0.476818,0.135616,,,,,,
sample,74,drone,,1.849336,4.032418,-0.673733,1.935138,1.793324,0.253489,0.268184,-1.959181,0.088483,-0.491058,0.140421,,,,,,
sample,75,drone,,1.874327,4.076623,-0.667370,1.941687,1.743582,0.255703,0.255734,-2.021645,0.088691,-0.505299,0.145616,,,,,,
sample,76,drone,,1.899318,4.119566,-0.660952,1.947920,1.692278,0.257922,0.242928,-2.084109,0.088900,-0.519539,0.151247,,,,,,
sample,77,drone,,1.924310,4.161207,-0.654479,1.953829,1.639414,0.260146,0.229766,-2.146573,0.089108,-0.533779,0.157370,,,,,,
sample,78,drone,,1.949301,4.201507,-0.647949,1.959404,1.584988,0.262375,0.216249,-2.209037,0.089316,-0.548019,0.164050,,,,,,
sample,79,drone,,1.974292,4.240428,-0.641364,1.964637,1.529001,0.264610,0.202375,-2.271501,0.089525,-0.562259,0.171363,,,,,,
sample,80,drone,,1.999283,4.277930,-0.634724,1.969519,1.471454,0.266850,0.188146,-2.333965,0.089733,-0.576499,0.179402,,,,,,
sample,81,drone,,2.024274,4.313974,-0.628027,1.974041,1.412345,0.269095,0.173561,-2.396429,0.089942,-0.590739,0.188274,,,,,,
sample,82,drone,,2.049265,4.348522,-0.621274,1.978194,1.351675,0.271346,0.158619,-2.458893,0.090150,-0.604979,0.198114,,,,,,
sample,83,drone,,2.074256,4.381534,-0.614464,1.981969,1.289444,0.273601,0.143322,-2.521357,0.090358,-0.619219,0.209084,,,,,,
sample,84,drone,,2.099247,4.412971,-0.607599,1.985358,1.225652,0.275862,0.127670,-2.583821,0.090567,-0.633459,0.221384,,,,,,
sample,85,drone,,2.124238,4.442794,-0.600676,1.988350,1.160300,0.278128,0.111661,-2.248089,0.279727,-0.641603,0.235265,,,,,,
sample,86,drone,,2.149229,4.470965,-0.593697,1.990939,1.113288,0.289843,0.095601,-0.585291,1.088673,-0.625390,0.254695,,,,,,
sample,87,drone,,2.174220,4.498439,-0.586189,1.993129,1.131045,0.332542,0.080403,1.641328,2.136233,-0.588786,0.285955,,,,,,
sample,88,drone,,2.199211,4.527497,-0.577076,1.994957,1.195325,0.396617,0.066172,2.568673,2.539025,-0.560596,0.320376,,,,,,
sample,89,drone,,2.224202,4.558184,-0.566366,1.996436,1.259433,0.459448,0.052383,2.523285,2.470814,-0.543470,0.349803,,,,,,
sample,90,drone,,2.249193,4.590446,-0.554112,1.997576,1.321444,0.520113,0.039008,2.439389,2.384151,-0.526861,0.374972,,,,,,
sample,91,drone,,2.274184,4.624232,-0.540369,1.998386,1.381359,0.578612,0.026049,2.355494,2.297487,-0.510252,0.396669,,,,,,
sample,92,drone,,2.299175,4.659489,-0.525192,1.998878,1.439177,0.634946,0.013505,2.271598,2.210824,-0.493642,0.415501,,,,,,
sample,93,drone,,2.324166,4.696165,-0.508633,1.999061,1.494898,0.689114,0.001376,2.187703,2.124161,-0.477033,0.431945,,,,,,
sample,94,drone,,2.349157,4.734207,-0.490748,1.998946,1.548523,0.741116,-0.010338,2.103808,2.037498,-0.460423,0.446378,,,,,,
sample,95,drone,,2.374148,4.773564,-0.471591,1.998544,1.600051,0.790952,-0.021637,2.019912,1.950834,-0.443814,0.459101,,,,,,
sample,96,drone,,2.399139,4.814181,-0.451215,1.997865,1.649482,0.838623,-0.032521,1.936017,1.864171,-0.427204,0.470358,,,,,,
sample,97,drone,,2.424130,4.856008,-0.429675,1.996919,1.696817,0.884127,-0.042990,1.852122,1.777508,-0.410595,0.480346,,,,,,
sample,98,drone,,2.449121,4.898992,-0.407024,1.995716,1.742055,0.927466,-0.053043,1.768226,1.690844,-0.393986,0.489229,,,,,,
sample,99,drone,,2.474112,4.943080,-0.383318,1.994267,1.785196,0.968639,-0.062682,1.684331,1.604181,-0.377376,0.497141,,,,,,
sample,100,drone,,2.499103,4.988219,-0.358610,1.992583,1.826241,1.007647,-0.071905,1.600435,1.517518,-0.360767,0.504193,,,,,,
sample,101,drone,,2.524094,5.034359,-0.332954,1.990674,1.865189,1.044488,-0.080714,1.516540,1.430855,-0.344157,0.510481,,,,,,
sample,102,drone,,2.549085,5.081445,-0.306404,1.988549,1.902041,1.079164,-0.089107,1.432645,1.344191,-0.327548,0.516082,,,,,,
sample,103,drone,,2.574076,5.129427,-0.279015,1.986220,1.936796,1.111673,-0.097085,1.348749,1.257528,-0.310939,0.521064,,,,,,
sample,104,drone,,2.599067,5.178251,-0.250840,1.983696,1.969454,1.142017,-0.104648,1.264854,1.170865,-0.294329,0.525483,,,,,,
sample,105,drone,,2.624058,5.227864,-0.221935,1.980989,2.000016,1.170196,-0.111796,1.180958,1.084202,-0.277720,0.529386,,,,,,
sample,106,drone,,2.649049,5.278215,-0.192352,1.978109,2.028481,1.196208,-0.118529,1.097063,0.997538,-0.261110,0.532816,,,,,,
sample,107,drone,,2.674041,5.329252,-0.162146,1.975065,2.054849,1.220055,-0.124847,1.013168,0.910875,-0.244501,0.535807,,,,,,
sample,108,drone,,2.699032,5.380921,-0.131371,1.971868,2.079121,1.241736,-0.130750,0.929272,0.824212,-0.227892,0.538388,,,,,,
sample,109,drone,,2.724023,5.433171,-0.100081,1.968530,2.101296,1.261251,-0.136238,0.845377,0.737548,-0.211282,0.540585,,,,,,
sample,110,drone,,2.749014,5.485948,-0.068331,1.965059,2.121375,1.278600,-0.141310,0.761482,0.650885,-0.194673,0.542419,,,,,,
sample,111,drone,,2.774005,5.539201,-0.036174,1.961467,2.139357,1.293783,-0.145968,0.677586,0.564222,-0.178063,0.543907,,,,,,
sample,112,drone,,2.798996,5.592878,-0.003665,1.957763,2.155242,1.306801,-0.150210,0.593691,0.477559,-0.161454,0.545065,,,,,,
sample,113,drone,,2.823987,5.646925,0.029143,1.953959,2.169031,1.317652,-0.154038,0.509795,0.390895,-0.144845,0.545905,,,,,,
sample,114,drone,,2.848978,5.701290,0.062194,1.950064,2.180723,1.326338,-0.157450,0.425900,0.304232,-0.128235,0.546435,,,,,,
sample,115,drone,,2.873969,5.755922,0.095436,1.946089,2.190318,1.332859,-0.160447,0.342005,0.217569,-0.111626,0.546663,,,,,,
sample,116,drone,,2.898960,5.810767,0.128813,1.942045,2.197817,1.337213,-0.163029,0.258109,0.130906,-0.095016,0.546593,,,,,,
sample,117,drone,,2.923951,5.865773,0.162272,1.937941,2.203219,1.339402,-0.165196,0.174214,0.044242,-0.078407,0.546230,,,,,,
sample,118,drone,,2.948942,5.920888,0.195759,1.933788,2.206524,1.339424,-0.166948,0.090319,-0.042421,-0.061798,0.545572,,,,,,
sample,119,drone,,2.973933,5.976060,0.229220,1.929596,2.207733,1.337281,-0.168285,0.006423,-0.129084,-0.045188,0.544619,,,,,,
sample,120,drone,,2.998924,6.031235,0.262599,1.925377,2.206845,1.332972,-0.169207,-0.077472,-0.215748,-0.028579,0.543368,,,,,,
sample,121,drone,,3.023915,6.086363,0.295844,1.921139,2.203861,1.326498,-0.169713,-0.161368,-0.302411,-0.011969,0.541813,,,,,,
sample,122,drone,,3.048906,6.141389,0.328900,1.916894,2.198780,1.317857,-0.169805,-0.245263,-0.389074,0.004640,0.539948,,,,,,
sample,123,drone,,3.073897,6.196262,0.361714,1.912652,2.191602,1.307051,-0.169481,-0.329158,-0.475737,0.021250,0.537761,,,,,,
sample,124,drone,,3.098888,6.250930,0.394230,1.908423,2.182328,1.294079,-0.168743,-0.413054,-0.562401,0.037859,0.535242,,,,,,
sample,125,drone,,3.123879,6.305339,0.426394,1.904218,2.170957,1.278941,-0.167589,-0.496949,-0.649064,0.054468,0.532377,,,,,,
sample,126,drone,,3.148870,6.359439,0.458154,1.900046,2.157489,1.261637,-0.166020,-0.580844,-0.735727,0.071078,0.529147,,,,,,
sample,127,drone,,3.173861,6.413175,0.489454,1.895920,2.141925,1.242168,-0.164037,-0.664740,-0.822390,0.087687,0.525532,,,,,,
sample,128,drone,,3.198852,6.466497,0.520240,1.891848,2.124264,1.220533,-0.161638,-0.748635,-0.909054,0.104297,0.521509,,,,,,
sample,129,drone,,3.223843,6.519350,0.550458,1.887841,2.104507,1.196732,-0.158824,-0.832531,-0.995717,0.120906,0.517050,,,,,,
sample,130,drone,,3.248834,6.571684,0.580055,1.883909,2.082653,1.170765,-0.155595,-0.916426,-1.082380,0.137515,0.512124,,,,,,
sample,131,drone,,3.273825,6.623446,0.608975,1.880064,2.058702,1.142632,-0.151950,-1.000321,-1.169044,0.154125,0.506693,,,,,,
sample,132,drone,,3.298816,6.674582,0.637166,1.876314,2.032655,1.112333,-0.147891,-1.084217,-1.255707,0.170734,0.500716,,,,,,
sample,133,drone,,3.323807,6.725042,0.664572,1.872672,2.004511,1.079869,-0.143417,-1.168112,-1.342370,0.187344,0.494141,,,,,,
sample,134,drone,,3.348798,6.774772,0.691140,1.869146,1.974270,1.045239,-0.138527,-1.252007,-1.429033,0.203953,0.486914,,,,,,
sample,135,drone,,3.373789,6.823720,0.716815,1.865748,1.941933,1.008443,-0.133223,-1.335903,-1.515697,0.220562,0.478967,,,,,,
sample,136,drone,,3.398780,6.871834,0.741544,1.862487,1.907499,0.969481,-0.127503,-1.419798,-1.602360,0.237172,0.470224,,,,,,
sample,137,drone,,3.423772,6.919061,0.765272,1.859375,1.870968,0.928354,-0.121368,-1.503694,-1.689023,0.253781,0.460594,,,,,,
sample,138,drone,,3.448763,6.965349,0.787945,1.856421,1.832341,0.885060,-0.114819,-1.587589,-1.775686,0.270391,0.449973,,,,,,
sample,139,drone,,3.473754,7.010645,0.809509,1.853636,1.791617,0.839601,-0.107854,-1.671484,-1.862350,0.287000,0.438236,,,,,,
sample,140,drone,,3.498745,7.054897,0.829910,1.851030,1.748797,0.791976,-0.100474,-1.755380,-1.949013,0.303609,0.425237,,,,,,
sample,141,drone,,3.523736,7.098053,0.849094,1.848614,1.703880,0.742186,-0.092679,-1.839275,-2.035676,0.320219,0.410803,,,,,,
sample,142,drone,,3.548727,7.140061,0.867006,1.846398,1.656866,0.690229,-0.084469,-1.923171,-2.122340,0.336828,0.394723,,,,,,
sample,143,drone,,3.573718,7.180867,0.883593,1.844392,1.607756,0.636107,-0.075843,-2.007066,-2.209003,0.353438,0.376750,,,,,,
sample,144,drone,,3.598709,7.220420,0.898800,1.842607,1.556549,0.579819,-0.066803,-2.090961,-2.295666,0.370047,0.356579,,,,,,
sample,145,drone,,3.623700,7.258666,0.912573,1.841053,1.503245,0.521365,-0.057348,-2.174857,-2.382329,0.386657,0.333844,,,,,,
sample,146,drone,,3.648691,7.295555,0.924859,1.839741,1.447845,0.460745,-0.047477,-2.258752,-2.468993,0.403266,0.308095,,,,,,
sample,147,drone,,3.673682,7.331033,0.935602,1.838680,1.390348,0.397959,-0.037192,-2.342647,-2.555656,0.419875,0.278776,,,,,,
sample,148,drone,,3.698673,7.365047,0.944750,1.837882,1.330755,0.333008,-0.026491,-2.426543,-2.642319,0.436485,0.245204,,,,,,
sample,149,drone,,3.723664,7.397547,0.952247,1.837356,1.269064,0.265891,-0.015375,-2.510438,-2.728982,0.453094,0.206530,,,,,,
sample,150,drone,,3.748655,7.428478,0.958040,1.837114,1.205278,0.196608,-0.003844,-2.594334,-2.815646,0.469704,0.161698,,,,,,
sample,151,drone,,3.773646,7.457789,0.962074,1.837164,1.139394,0.125159,0.008102,-2.678229,-2.902309,0.486313,0.109408,,,,,,
sample,152,drone,,3.798637,7.485427,0.964295,1.837519,1.071414,0.051544,0.020463,-2.739508,-2.983048,0.502194,0.048072,,,,,,
sample,153,drone,,3.823628,7.511340,0.964650,1.838187,1.002468,-0.023940,0.033202,-1.901257,-2.821620,0.487755,-0.023877,,,,,,
sample,154,drone,,3.848619,7.535533,0.963099,1.839178,0.976385,-0.089486,0.044842,0.246896,-2.285554,0.424690,-0.091395,,,,,,
sample,155,drone,,3.873610,7.560142,0.960177,1.840428,1.014808,-0.138177,0.054429,1.958109,-1.817398,0.366234,-0.135328,,,,,,
sample,156,drone,,3.898601,7.586255,0.956192,1.841899,1.074256,-0.180323,0.063147,2.350766,-1.669927,0.345242,-0.166308,,,,,,
sample,157,drone,,3.923592,7.613836,0.951164,1.843584,1.132305,-0.221643,0.071685,2.294800,-1.636837,0.338069,-0.193301,,,,,,
sample,158,drone,,3.948583,7.642850,0.945114,1.845482,1.188955,-0.262136,0.080044,2.238833,-1.603747,0.330897,-0.217004,,,,,,
sample,159,drone,,3.973574,7.673262,0.938062,1.847585,1.244206,-0.301802,0.088224,2.182866,-1.570657,0.323725,-0.237970,,,,,,
sample,160,drone,,3.998565,7.705038,0.930029,1.849891,1.298059,-0.340641,0.096225,2.126899,-1.537567,0.316552,-0.256636,,,,,,
sample,161,drone,,4.023556,7.738142,0.921036,1.852395,1.350513,-0.378652,0.104046,2.070932,-1.504476,0.309380,-0.273358,,,,,,
sample,162,drone,,4.048547,7.772539,0.911104,1.855092,1.401568,-0.415837,0.111688,2.014965,-1.471386,0.302208,-0.288421,,,,,,
sample,163,drone,,4.073538,7.808195,0.900252,1.857977,1.451225,-0.452195,0.119151,1.958999,-1.438296,0.295035,-0.302061,,,,,,
sample,164,drone,,4.098529,7.845074,0.888502,1.861047,1.499483,-0.487726,0.126435,1.903032,-1.405206,0.287863,-0.314470,,,,,,
sample,165,drone,,4.123520,7.883142,0.875874,1.864297,1.546342,-0.522430,0.133539,1.847065,-1.372116,0.280691,-0.325809,,,,,,
sample,166,drone,,4.148511,7.922364,0.862390,1.867722,1.591803,-0.556308,0.140464,1.791098,-1.339026,0.273518,-0.336214,,,,,,
sample,167,drone,,4.173502,7.962704,0.848069,1.871317,1.635865,-0.589358,0.147210,1.735131,-1.305936,0.266346,-0.345797,,,,,,
sample,168,drone,,4.198494,8.004128,0.832933,1.875079,1.678529,-0.621581,0.153777,1.679164,-1.272846,0.259174,-0.354655,,,,,,
sample,169,drone,,4.223485,8.046600,0.817001,1.879003,1.719793,-0.652977,0.160164,1.623197,-1.239755,0.252001,-0.362870,,,,,,
sample,170,drone,,4.248476,8.090086,0.800295,1.883085,1.759659,-0.683546,0.166372,1.567231,-1.206665,0.244829,-0.370513,,,,,,
sample,171,drone,,4.273467,8.134552,0.782836,1.887319,1.798127,-0.713289,0.172401,1.511264,-1.173575,0.237657,-0.377645,,,,,,
sample,172,drone,,4.298458,8.179961,0.764644,1.891702,1.835195,-0.742204,0.178251,1.455297,-1.140485,0.230484,-0.384318,,,,,,
sample,173,drone,,4.323449,8.226278,0.745739,1.896228,1.870865,-0.770293,0.183921,1.399330,-1.107395,0.223312,-0.390578,,,,,,
sample,174,drone,,4.348440,8.273470,0.726143,1.900894,1.905137,-0.797554,0.189412,1.343363,-1.074305,0.216139,-0.396466,,,,,,
sample,175,drone,,4.373431,8.321501,0.705876,1.905696,1.938010,-0.823989,0.194724,1.287396,-1.041215,0.208967,-0.402017,,,,,,
sample,176,drone,,4.398422,8.370336,0.684958,1.910627,1.969484,-0.849596,0.199857,1.231430,-1.008124,0.201795,-0.407262,,,,,,
sample,177,drone,,4.423413,8.419940,0.663411,1.915685,1.999559,-0.874377,0.204810,1.175463,-0.975034,0.194622,-0.412230,,,,,,
sample,178,drone,,4.448404,8.470278,0.641255,1.920864,2.028236,-0.898330,0.209584,1.119496,-0.941944,0.187450,-0.416944,,,,,,
sample,179,drone,,4.473395,8.521315,0.618511,1.926160,2.055514,-0.921457,0.214179,1.063529,-0.908854,0.180278,-0.421427,,,,,,
sample,180,drone,,4.498386,8.573017,0.595199,1.931569,2.081393,-0.943757,0.218595,1.007562,-0.875764,0.173105,-0.425699,,,,,,
sample,181,drone,,4.523377,8.625348,0.571340,1.937086,2.105874,-0.965230,0.222832,0.951595,-0.842674,0.165933,-0.429777,,,,,,
sample,182,drone,,4.548368,8.678273,0.546955,1.942707,2.128956,-0.985875,0.226889,0.895628,-0.809584,0.158761,-0.433677,,,,,,
sample,183,drone,,4.573359,8.731757,0.522064,1.948426,2.150639,-1.005694,0.230767,0.839662,-0.776494,0.151588,-0.437414,,,,,,
sample,184,drone,,4.598350,8.785766,0.496688,1.954241,2.170924,-1.024686,0.234466,0.783695,-0.743403,0.144416,-0.441002,,,,,,
sample,185,drone,,4.623341,8.840265,0.470848,1.960146,2.189810,-1.042851,0.237985,0.727728,-0.710313,0.137244,-0.444451,,,,,,
